"","rowID","FlightDate","TailNum","FlightNum","OriginAirportID","OriginCityName","DestAirportID","DestCityName","DestStateName","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","rotational","nonrotational","useless","fixeddelay"
"257529",257529,0015-02-17,"N654AW",597,12478,"New York, NY",14107,"Phoenix, AZ","Arizona",1053,54,54,1,3,"0900-0959",48,1141,1429,4,1336,1433,57,57,1,3,"1300-1359",0,54,3,0,0,0,0,1,NA
"257530",257530,0015-02-17,"N654AW",597,14107,"Phoenix, AZ",14831,"San Jose, CA","California",1555,80,80,1,5,"1400-1459",10,1605,1629,3,1530,1632,62,62,1,4,"1500-1559",25,0,0,0,37,1,0,0,NA
"257555",257555,0015-02-17,"N198UW",612,14107,"Phoenix, AZ",10397,"Atlanta, GA","Georgia",1424,59,59,1,3,"1300-1359",14,1438,1950,13,1855,2003,68,68,1,4,"1800-1859",0,0,9,0,59,1,0,0,NA
"257556",257556,0015-02-17,"N745VJ",613,10397,"Atlanta, GA",14100,"Philadelphia, PA","Pennsylvania",1022,107,107,1,7,"0800-0859",15,1037,1159,11,1037,1210,93,93,1,6,"1000-1059",0,0,93,0,0,0,0,1,NA
"257557",257557,0015-02-17,"N156UW",614,12892,"Los Angeles, CA",14107,"Phoenix, AZ","Arizona",1329,44,44,1,2,"1200-1259",17,1346,1549,9,1508,1558,50,50,1,3,"1500-1559",16,0,6,0,28,1,0,0,NA
"257558",257558,0015-02-17,"N156UW",614,14107,"Phoenix, AZ",10397,"Atlanta, GA","Georgia",1646,31,31,1,2,"1600-1659",10,1656,2153,6,2141,2159,18,18,1,1,"2100-2159",18,0,0,0,0,0,1,0,NA
"257564",257564,0015-02-17,"N602AW",621,14107,"Phoenix, AZ",14908,"Santa Ana, CA","California",1138,18,18,1,1,"1100-1159",13,1151,1147,5,1146,1152,6,6,0,0,"1100-1159",NA,NA,NA,NA,NA,0,0,0,1
"257573",257573,0015-02-17,"N153UW",628,11057,"Charlotte, NC",14107,"Phoenix, AZ","Arizona",1329,29,29,1,1,"1300-1359",21,1350,1547,6,1538,1553,15,15,1,1,"1500-1559",0,15,0,0,0,0,0,1,NA
"257575",257575,0015-02-17,"N197UW",629,10721,"Boston, MA",14107,"Phoenix, AZ","Arizona",1653,35,35,1,2,"1600-1659",57,1750,2101,6,2015,2107,52,52,1,3,"2000-2059",0,0,52,0,0,0,0,1,NA
"257578",257578,0015-02-17,"N193UW",629,14107,"Phoenix, AZ",14908,"Santa Ana, CA","California",2142,27,27,1,1,"2100-2159",11,2153,2144,5,2134,2149,15,15,1,1,"2100-2159",15,0,0,0,0,0,1,0,NA
